Trip_type,Passenger,Quarter,Year,State,movement
ARR,"  404,939 ",Q1,2021,Lagos,Domestic
DEP,"  359,937 ",Q1,2021,Lagos,Domestic
ARR,"  433,881 ",Q2,2021,Lagos,Domestic
DEP,"  427,439 ",Q2,2021,Lagos,Domestic
ARR,"  571,425 ",Q3,2021,Lagos,Domestic
DEP,"  539,878 ",Q3,2021,Lagos,Domestic
ARR,"  673,323 ",Q4,2021,Lagos,Domestic
DEP,"  682,890 ",Q4,2021,Lagos,Domestic
ARR,"  2,083,568 ",FULL,2021,Lagos,Domestic
DEP,"  2,010,144 ",FULL,2021,Lagos,Domestic
ARR,"  509,356 ",Q1,2020,Lagos,Domestic
DEP,"  472,779 ",Q1,2020,Lagos,Domestic
ARR,"  555,099 ",Q2,2020,Lagos,Domestic
DEP,"  259,220 ",Q2,2020,Lagos,Domestic
ARR,"  242,454 ",Q3,2020,Lagos,Domestic
DEP,"  240,154 ",Q3,2020,Lagos,Domestic
ARR,"  403,029 ",Q4,2020,Lagos,Domestic
DEP,"  430,544 ",Q4,2020,Lagos,Domestic
ARR,"  1,709,938 ",FULL,2020,Lagos,Domestic
DEP,"  1,402,697 ",FULL,2020,Lagos,Domestic
ARR,"  465,474 ",Q1,2019,Lagos,Domestic
DEP,"  465,082 ",Q1,2019,Lagos,Domestic
ARR,"  557,638 ",Q2,2019,Lagos,Domestic
DEP,"  515,671 ",Q2,2019,Lagos,Domestic
ARR,"  562,283 ",Q3,2019,Lagos,Domestic
DEP,"  550,338 ",Q3,2019,Lagos,Domestic
ARR,"  569,482 ",Q4,2019,Lagos,Domestic
DEP,"  607,513 ",Q4,2019,Lagos,Domestic
ARR,"  2,154,877 ",FULL,2019,Lagos,Domestic
DEP,"  2,138,604 ",FULL,2019,Lagos,Domestic
ARR,"  499,576 ",Q1,2018,Lagos,Domestic
DEP,"  483,020 ",Q1,2018,Lagos,Domestic
ARR,"  536,597 ",Q2,2018,Lagos,Domestic
DEP,"  527,132 ",Q2,2018,Lagos,Domestic
ARR,"  1,036,173 ",Q3,2018,Lagos,Domestic
DEP,"  1,010,152 ",Q3,2018,Lagos,Domestic
ARR,"  581,047 ",Q4,2018,Lagos,Domestic
DEP,"  578,295 ",Q4,2018,Lagos,Domestic
ARR,"  2,653,393 ",FULL,2018,Lagos,Domestic
DEP,"  2,598,599 ",FULL,2018,Lagos,Domestic
ARR,150982,Q1,2021,Lagos,Foreign
DEP,166243,Q1,2021,Lagos,Foreign
ARR,162720,Q2,2021,Lagos,Foreign
DEP,173121,Q2,2021,Lagos,Foreign
ARR,203776,Q3,2021,Lagos,Foreign
DEP,231118,Q3,2021,Lagos,Foreign
ARR,270396,Q4,2021,Lagos,Foreign
DEP,237166,Q4,2021,Lagos,Foreign
ARR,787874,FULL,2021,Lagos,Foreign
DEP,807648,FULL,2021,Lagos,Foreign
ARR,287379,Q1,2020,Lagos,Foreign
DEP,324355,Q1,2020,Lagos,Foreign
ARR,1868,Q2,2020,Lagos,Foreign
DEP,12917,Q2,2020,Lagos,Foreign
ARR,36589,Q3,2020,Lagos,Foreign
DEP,38386,Q3,2020,Lagos,Foreign
ARR,153446,Q4,2020,Lagos,Foreign
DEP,142820,Q4,2020,Lagos,Foreign
ARR,479282,FULL,2020,Lagos,Foreign
DEP,518478,FULL,2020,Lagos,Foreign
ARR,334055,Q1,2019,Lagos,Foreign
DEP,378960,Q1,2019,Lagos,Foreign
ARR,379654,Q2,2019,Lagos,Foreign
DEP,394540,Q2,2019,Lagos,Foreign
ARR,426194,Q3,2019,Lagos,Foreign
DEP,447197,Q3,2019,Lagos,Foreign
ARR,438549,Q4,2019,Lagos,Foreign
DEP,403688,Q4,2019,Lagos,Foreign
ARR,1578452,FULL,2019,Lagos,Foreign
DEP,1624385,FULL,2019,Lagos,Foreign
ARR,327930,Q1,2018,Lagos,Foreign
