Industry,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2019,Q2 2019,Q3 2019,Q4 2019
AGRICULTURE,,,,,,,,,"6,077,201.94","6,788,601.66","9,783,542.88","9,254,794.38"
1. Crop Production,"6,410,647.17","7,198,345.63","10,192,217.02","9,376,328.33","7,218,298.07","7,553,534.55","10,962,877.50","10,614,696.75","5,174,393.33","5,947,453.57","8,963,201.89","8,211,878.17"
2. Livestock,"509,547.73","503,341.58","509,946.41","598,535.01","613,715.30","508,074.08","517,773.35","609,777.04","514,932.01","500,680.74","497,422.38","595,909.90"
3. Forestry,"64,114.31","75,495.31","69,162.83","76,017.37","73,327.72","75,767.01","70,037.83","77,823.39","65,980.47","77,863.37","66,570.45","75,464.38"
4. Fishing,"458,368.20","362,339.21","334,665.48","502,537.55","663,986.70","519,932.27","437,893.38","608,543.52","321,896.13","262,603.99","256,348.16","371,541.92"
MINING AND QUARRYING,,,,,,,,,"3,176,732.30","3,145,659.94","3,732,094.99","2,714,936.58"
5. Crude Petroleum and Natural Gas,"2,827,160.42","2,519,995.03","2,782,376.36","2,066,094.13","2,822,468.96","2,264,104.41","2,554,861.14","1,994,583.41","3,148,350.00","3,059,667.28","3,624,334.40","2,568,074.01"
6. Coal Mining,"3,308.76","4,892.45","1,092.35","2,186.79","3,775.75","7,439.85","1,186.38","3,933.10","5,157.03","4,119.97","1,120.29","2,510.35"
7. Metal Ores,"5,212.48","2,595.16","2,189.70","1,561.31","7,612.96","3,574.82","3,845.88","2,523.98","4,794.35","2,597.76","2,231.51","1,519.75"
8. Quarrying and Other Minerals,"5,354.01","114,173.03","202,938.59","310,635.90","3,519.87","189,022.84","289,766.73","585,362.01","18,430.92","79,274.94","104,408.79","142,832.46"
MANUFACTURING,,,,,,,,,"3,600,595.99","4,015,809.43","4,666,587.41","4,498,071.21"
9. Oil Refining,"10,666.52","14,223.60","12,579.79","20,389.13","5,022.41","7,806.59","6,767.84","11,717.21","21,915.32","42,651.71","38,764.60","45,453.43"
